submission_id,response,row_number,framing,,Type-sub,Type-obj,Mono-sub,Mono-obj,Streng-sub,Streng-obj,neg,pred,Type-sub,Type-obj,Mono-sub,Mono-obj,Streng-sub,Streng-obj,neg,pred
11632,Some students got all the answers correct,12|12|0|0|0,high,,Non-num,Non-num,up,up,2,10,no,high,,,,,,,,
11635,"All students are getting at least a quarter of questions incorrect, with 2/5 of students not getting any correct answers",9|9|3|0|0,low,,Non-num,Non-num,up,up,10,3,no,low,num,Non-num,Non-mono,down,4,0,yes,high
11635,only a few students are struggling to complete 3 of the questions,3|3|0|0|0,high,,Non-num,num,down,Non-mono,3,3,no,low,,,,,,,,
11635,the majority of students are passing the exams,9|9|3|3|3,high,,Non-num,Non-num,up,up,6,6,no,high,,,,,,,,
11635,a large majority of students are failing the exam,3|3|3|0|0,low,,Non-num,no,up,down,7,5,no,low,,,,,,,,
11635,a large majority of students are passing the exam,12|12|12|0|0,high,,Non-num,no,up,,7,6,no,high,,,,,,,,
11635,none of the students were able to answer a quarter of the questions,9|9|9|0|0,low,,Non-num,Non-num,down,up,0,2.5,no,high,,,,,,,,
11635,a majority of students are able to answer a quarter of the questions correctly,12|12|3|0|0,high,,Non-num,Non-num,up,up,6,2.5,no,high,,,,,,,,
11635,all students were unable to correctly answer 3/4 of questions correctly,3|3|3|3|3,low,,Non-num,Non-num,up,up,10,7.5,no,low,,,,,,,,
11635,all students correctly answered 3/4 of questions,12|12|9|9|9,high,,Non-num,Non-num,up,up,10,7.5,no,high,,,,,,,,
11635,a majority of students were unable to correctly answer 1/4 of questions,12|12|9|3|3,low,,Non-num,Non-num,up,up,6,2.5,no,low,,,,,,,,
11635,a majority of students were able to answer 3/4 correctly,12|12|9|0|0,high,,Non-num,Non-num,up,up,6,7.5,no,high,,,,,,,,
11636,Riverside test scores show that it is difficult to achieve a 100% pass rate at this school. It is likely that 0% would be the average score presented.,12|12|0|0|0,low,,,,,,,,,,,,,,,,,
11636,Riverside students have found it challenging to achieve over 80% pass rates and 2 out of 5 children will be likely to fail and not achieve even over 50% pass rate,9|9|9|3|3,low,,Non-num,num,up,down,10,8,no,low,num,num,Non-mono,down,4,3,no,high
11636,The results of the tests at Green Valley are challenging and student aptitude and lots of revision and hard work could achieve an optimum score and pass rate,0|0|0|0|0,high,,,,,,,,,,,,,,,,,
11636,At Green Valley it is quite possible to to achieve success on some of the questions presented in the tests but perhaps not all of them for all pupils.,3|3|0|0|0,high,,,,,,,,,,,,,,,,,
11636,There is a chance that Riverside students will have 0% pass rate with the questions. It may be difficult to achieve over 50% mark.,3|3|3|0|0,low,,Non-num,num,up,up,2,6,no,high,,,,,,,,
11636,It is possible for some students to achieve well over the 60% pass rate and it is very achievable for all students to gain correct answers throughout the testing.,9|9|3|3|3,high,,num,num,Non-mono,down,4,0,no,high,,,,,,,,
11636,It is quite probable that at least 2 out of 5 students will get 0% pass rate at Riverside on the testing,12|12|3|0|0,low,,num,num,up,down,6,6,no,high,,,,,,,,
11636,It is likely at Green Valley that 3 out of 5 students will receive well over 60% and have a high chance of achieving this score,9|9|9|0|0,high,,num,num,Non-mono,up,6,,no,high,,,,,,,,
11636,3 out of 5 students will answer questions on the testing correctly and 2 out of 5 will achieve over 60% pass rate,9|9|3|0|0,high,,num,Non-num,Non-mono,up,6,2,no,high,num,num,Non-mono,up,4,6,no,high
11636,It is showing that 2 out of 5 students at Riverside will not achieve at least over 50% on the tests. Some students will not answer all questions correctly,12|12|9|3|3,low,,num,num,Non-mono,up,4,5,yes,high,Non-num,Non-num,up,up,2,10,no,high
11636,Green Valley will be able to achieve 100% pass rate on testing and this can be 2 out of 5 students and at least 3 out of 5 students will gain a 60% pass rate,12|12|9|0|0,high,,num,num,Non-mono,Non-mono,4,10,no,high,num,num,up,Non-mono,6,6,no,high
11639,"At Riverside, 60% of students scored 25% or lower. 40% scored 0%. The highest score being only 75%.",9|9|3|0|0,low,,num,num,Non-mono,down,6,2.5,no,high,num,num,Non-mono,down,4,0,no,high
11639,"At Riverside, 60% of students scored 0.",12|12|0|0|0,low,,num,num,Non-mono,down,6,0,no,high,,,,,,,,
11639,"At Green Valley, 40% of students scored 100%!",12|12|3|0|0,high,,num,num,Non-mono,up,4,10,no,high,,,,,,,,
11639,"At Green Valley, 40% of the students scored very high.",9|9|0|0|0,high,,,,,,,,,,,,,,,,,
11639,"At Green Valley, all students scored 75% or higher!",12|12|9|9|9,high,,Non-num,num,up,up,10,7.5,no,high,,,,,,,,
11639,"At Riverside, all students passed this exam, with the same score.",12|12|12|12|12,low,,Non-num,Non-num,up,up,10,6,no,high,,,,,,,,
11639,"At Riverside, not all students scored perfectly",12|12|12|9|9,low,,Non-num,Non-num,up,up,10,10,yes,high,,,,,,,,
11639,"At Riverside, all students scored extremely low, the highest score being only 25%.",3|3|0|0|0,low,,,,,,,,,,,,,,,,,
11639,"At Green Valley, almost half of student scored extremely high.",9|9|3|3|3,high,,,,,,,,,,,,,,,,,
11639,"At Green Valley, more than half of students scored extremely high with the majority of those scores being 100%!",12|12|9|0|0,high,,,,,,,,,,,,,,,,,
11639,At Green Valley almost half of students scored 100%,12|12|3|3|3,high,,Non-num,num,down,Non-mono,4,10,no,high,,,,,,,,
11640,students who passed the exam got at least 75% of the questions correct,9|9|0|0|0,high,,,,,,,,,,,,,,,,,
11640,nearly all students got nearly all questions right,9|9|9|3|3,high,,Non-num,Non-num,Non-mono,Non-mono,9,9,no,high,,,,,,,,
11640,the majority of students got 100% of questions correct,12|12|12|3|3,high,,Non-num,num,up,up,6,10,no,high,,,,,,,,
11640,nearly half of students did not get any questions right,12|12|9|0|0,low,,Non-num,Non-num,down,down,4,0,yes,high,,,,,,,,
11640,the majority of students got all questions right,12|12|12|0|0,high,,Non-num,Non-num,up,up,6,10,no,high,,,,,,,,
11640,the exam was unusually challenging for all students,0|0|0|0|0,high,,,,,,,,,,,,,,,,,
11640,"there were no students who did not get any questions right, and nearly half got at least 75% right",9|9|3|3|3,high,,Non-num,Non-num,down,down,0,0,yes,high,Non-num,num,down,up,4,7.5,no,high
11640,all students got at least 75% of questions right,9|9|9|9|9,high,,Non-num,num,up,up,10,7.5,no,high,,,,,,,,
11640,the exam was much easier than previous years and there were unusually high success rates,12|12|12|12|12,low,,,,,,,,,,,,,,,,,
11640,the majority of students got at least 75% of questions right,9|9|9|0|0,high,,Non-num,num,up,up,6,7.5,no,high,,,,,,,,
11640,the majority of students got at least a quarter of the questions wrong,12|12|9|9|9,low,,Non-num,Non-num,up,down,6,3,no,high,,,,,,,,
11645,Some of the students got all the answers correct on the exam.,12|12|3|3|3,high,,Non-num,Non-num,up,up,2,10,no,high,,,,,,,,
11645,At least 40% of the students received a zero score on the exam.,9|9|9|0|0,low,,num,Non-num,up,down,4,0,no,low,,,,,,,,
11645,Only a few students got a full score on the exam.,12|12|9|9|9,low,,Non-num,Non-num,up,up,3,10,no,high,,,,,,,,
11645,Most of the students answered most of the questions correctly on the exam.,12|12|9|0|0,high,,Non-num,Non-num,up,up,6,6,no,high,,,,,,,,
11645,Most of the students got at least some of the questions correct on the exam.,3|3|3|0|0,high,,Non-num,Non-num,up,up,6,2,no,high,,,,,,,,
11645,Most of the students answered most of the questions correctly on the exam.,12|12|9|3|3,high,,Non-num,Non-num,up,up,6,6,no,high,,,,,,,,
11645,Some of the students answered most of the questions correctly on the exam.,9|9|0|0|0,high,,Non-num,Non-num,up,up,2,6,no,high,,,,,,,,
11645,Some of the students answered some of the questions  correctly on the exam.,3|3|0|0|0,high,,Non-num,Non-num,up,up,2,2,no,high,,,,,,,,
11645,Some of the students got all the answers wrong on the exam.,12|12|3|0|0,low,,Non-num,Non-num,up,up,2,10,no,low,,,,,,,,
11645,The students all received similar scores which seems improbable.,12|12|12|12|12,low,,,,,,,,,,,,,,,,,
11645,All of the students answered most of the questions correctly on the exam.,9|9|9|9|9,high,,Non-num,Non-num,up,up,10,6,no,high,,,,,,,,
11662,About half the students have a high success rate,12|12|3|3|3,high,,,,,,,,,,,,,,,,,
11662,Riverside is about even on scores,12|12|9|0|0,low,,,,,,,,,,,,,,,,,
11662,Riverside has a horrible success rate,0|0|0|0|0,low,,,,,,,,,,,,,,,,,
11662,Riverside continues to come in with low grades,12|12|3|0|0,low,,,,,,,,,,,,,,,,,
11662,Riverside has improvement in success,9|9|9|3|3,low,,,,,,,,,,,,,,,,,
11662,Riverside continues to struggle,9|9|3|3|3,low,,,,,,,,,,,,,,,,,
11662,Riverside continues to struggle,9|9|0|0|0,low,,,,,,,,,,,,,,,,,
11662,Green valley is upping the game,12|12|12|12|12,high,,,,,,,,,,,,,,,,,
11662,Green valley is continually poor stats,3|3|3|0|0,high,,,,,,,,,,,,,,,,,
11662,green valley is trying to improve,3|3|0|0|0,high,,,,,,,,,,,,,,,,,
11662,riverside has low success rate,3|3|3|3|3,low,,,,,,,,,,,,,,,,,
11620,Some of the group failed while others did great.,12|12|0|0|0,high,,,,,,,,,,,,,,,,,
11620,The majority of the tests were good.,12|12|3|3|3,high,,,,,,,,,,,,,,,,,
11620,The group got the first three questions all right.,9|9|3|3|3,high,,,,,,,,,,,,,,,,,
11620,The group all answered the last question wrong.,9|9|9|3|3,low,,,,,,,,,,,,,,,,,
11620,The group got the majority of questions right.,9|9|9|9|9,high,,Non-num,Non-num,up,up,10,6,no,high,,,,,,,,
11620,A few in the group got every question wrong.,3|3|0|0|0,low,,Non-num,Non-num,up,up,3,10,no,low,,,,,,,,
11620,Everyone got all of them wrong.,0|0|0|0|0,low,,Non-num,Non-num,up,up,10,10,no,low,,,,,,,,
11620,Two people got every question wrong.,12|12|9|0|0,low,,num,Non-num,Non-mono,up,4,10,no,low,,,,,,,,
11620,The majority of the people got perfect scores.,12|12|12|0|0,high,,Non-num,Non-num,up,up,6,10,no,high,,,,,,,,
11620,The majority of people passed.,9|9|9|0|0,high,,Non-num,no,up,,6,5,no,high,,,,,,,,
11620,Three people failed the last few questions.,12|12|9|9|9,low,,num,Non-num,Non-mono,up,6,3,no,low,,,,,,,,
11627,full marks were achieved by a number of pupils,12|12|3|0|0,high,,Non-num,Non-num,up,up,10,2,no,high,,,,,,,,
11627,no student achieved above 25%,3|3|3|0|0,low,,Non-num,num,down,up,0,2.5,no,high,,,,,,,,
11627,Green Valley have been working hard to improve maths results across the board with success,3|3|0|0|0,high,,,,,,,,,,,,,,,,,
11627,most pupils reach high levels in their tests,9|9|9|0|0,high,,,,,,,,,,,,,,,,,
11627,Riverside have struggled to achieve the high grades and undoubtedly will continue,12|12|12|12|12,low,,,,,,,,,,,,,,,,,
11627,not one child has achieved full marks,9|9|9|9|9,low,,Non-num,Non-num,down,up,0,10,yes,high,,,,,,,,
11627,there are a number of children who failed to score a single point in their test,12|12|12|0|0,low,,Non-num,Non-num,up,down,2,0,no,low,,,,,,,,
11627,Boys are consistently scoring highly in their tests,9|9|0|0|0,high,,,,,,,,,,,,,,,,,
11627,sadly there are children that are not reaching more than 25%,12|12|12|3|3,low,,Non-num,num,up,up,2,2.5,yes,high,,,,,,,,
11627,There is a consistent performance achieved by all students,3|3|3|3|3,high,,,,,,,,,,,,,,,,,
11627,only 2 pupils scored any points in the test,12|12|0|0|0,low,,num,Non-num,Non-mono,up,4,1,no,high,,,,,,,,
11630,All of the students got at least 3/4ths of the questions right.,9|9|9|9|9,high,,Non-num,Non-num,up,up,10,7.5,no,high,,,,,,,,
11630,40% of the students got at least 75% of the questions right.,9|9|0|0|0,high,,num,num,Non-mono,up,4,7.5,no,high,,,,,,,,
11630,Two-fifths of the students received a perfect score.,12|12|3|0|0,high,,num,Non-num,Non-mono,up,4,10,no,high,,,,,,,,
11630,Exam results were consistent among the entire cohort.,3|3|3|3|3,high,,,,,,,,,,,,,,,,,
11630,None of the students scored above 75%.,9|9|9|3|3,low,,Non-num,num,down,up,0,7.5,no,high,,,,,,,,
11630,Forty percent of the students received perfect scores!,12|12|0|0|0,high,,num,Non-num,Non-mono,up,4,10,no,high,,,,,,,,
11630,Forty percent of the students did not get a single question correct.,12|12|12|0|0,low,,num,Non-num,Non-mono,down,4,0,yes,high,,,,,,,,
11630,"Overall, more questions were answered incorrectly than correctly.",9|9|3|0|0,low,,Non-num,no,up,,6,,no,low,,,,,,,,
11630,Forty percent of the students answered less than a third of the questions correctly.,12|12|12|3|3,low,,num,Non-num,Non-mono,down,4,3,no,high,,,,,,,,
11630,Results from all students at the school are consistent.,0|0|0|0|0,high,,,,,,,,,,,,,,,,,
11630,Results from all students at the school are consistent.,12|12|12|12|12,low,,,,,,,,,,,,,,,,,
11631,The maojority of the students failed the exam.,9|9|0|0|0,low,,Non-num,Non-num,up,down,6,4,no,low,,,,,,,,
11631,None of the students achieved a perfect score.,9|9|9|3|3,low,,Non-num,Non-num,down,up,0,10,no,high,,,,,,,,
11631,Most of the students got less than half of the questions right.,12|12|3|3|3,low,,Non-num,Non-num,up,down,6,4,no,high,,,,,,,,
11631,None of the students achieved full marks.,9|9|9|9|9,low,,Non-num,Non-num,down,up,0,10,no,high,,,,,,,,
11631,The majority of the students failed to get a single question right.,12|12|0|0|0,low,,Non-num,Non-num,up,down,6,0,no,low,,,,,,,,
11631,Several students achieved full marks.,12|12|9|9|9,high,,Non-num,Non-num,up,up,4,10,no,high,,,,,,,,
11631,Most of the students failed the exam.,3|3|3|0|0,low,,Non-num,Non-num,up,down,6,4,no,low,,,,,,,,
11631,None of the students achieved a score higher than 75%.,9|9|9|0|0,low,,Non-num,num,down,up,0,7.5,no,high,,,,,,,,
11631,All of the students displayed their own areas of competency, some were even close to a perfect score.,9|9|3|3|3,high,,,,,,,,,Non-num,no,down,,2,9,no,high
11631,The majority of students achieved a perfect score.,12|12|12|9|9,high,,Non-num,Non-num,up,up,6,10,no,high,,,,,,,,
11631,Not all of the students lived up to expectations.,12|12|12|3|3,low,,,,,,,,,,,,,,,,,
11622,60% of students fail all questions,12|12|0|0|0,low,,num,Non-num,Non-mono,up,6,10,no,low,,,,,,,,
11622,no student scored higher than 75%,9|9|9|9|9,low,,Non-num,num,down,up,0,7.5,no,high,,,,,,,,
11622,3/5 students got atleast 3 questions correct,3|3|3|0|0,high,,num,num,Non-mono,up,6,2.5,no,high,,,,,,,,
11622,every student scored 75% or higher,12|12|9|9|9,high,,Non-num,num,up,up,10,7.5,no,high,,,,,,,,
11622,40% of students failed every question,12|12|12|0|0,low,,num,Non-num,Non-mono,up,4,10,no,low,,,,,,,,
11622,40% of students failed every question,9|9|9|0|0,low,,num,Non-num,Non-mono,up,4,10,no,low,,,,,,,,
11622,2/5 students achieved 75% or above,9|9|3|0|0,high,,num,num,Non-mono,up,4,7.5,no,high,,,,,,,,
11622,all students got 75% or higher,12|12|12|9|9,high,,Non-num,num,up,up,10,7.5,no,high,,,,,,,,
11622,40% of students failed,12|12|3|0|0,low,,num,Non-num,Non-mono,down,4,4,,,,,,,,,,
11622,40% of students got 100%,12|12|3|3|3,high,,num,num,Non-mono,up,4,10,no,high,,,,,,,,
11622,40%$ of students got high grades,12|12|9|3|3,high,,,,,,,,,,,,,,,,,
11623,All students got at least 75% correct,9|9|9|9|9,high,,Non-num,num,up,up,10,7.5,no,high,,,,,,,,
11623,Over half students got less than half correct,12|12|3|0|0,low,,Non-num,Non-num,up,down,6,4,no,high,,,,,,,,
11623,Majority of students got less then 80%,12|12|9|9|9,low,,Non-num,num,up,down,6,7,no,high,,,,,,,,
11623,No-one got anything right,0|0|0|0|0,low,,Non-num,Non-num,down,down,0,0,no,high,,,,,,,,
11623,Not all students got top results,12|12|12|9|9,low,,,,,,,,,,,,,,,,,
11623,40% of students got 100%,12|12|3|3|3,high,,num,num,Non-mono,Non-mono,4,10,no,high,,,,,,,,
11623,Over half students got correct answers,3|3|3|0|0,high,,Non-num,Non-num,up,up,6,2,no,high,,,,,,,,
11623,Everyone got everything correct,12|12|12|12|12,high,,Non-num,Non-num,up,up,10,10,no,high,,,,,,,,
11623,All students achieved the same mark,3|3|3|3|3,high,,,,,,,,,,,,,,,,,
11623,Over half got most questions correct,9|9|9|0|0,high,,Non-num,Non-num,up,up,6,6,no,high,,,,,,,,
11623,More than 50% failed,9|9|0|0|0,low,,num,no,up,,6,4,no,low,,,,,,,,
11668,The majority answered questions correctly.,3|3|3|0|0,high,,Non-num,Non-num,up,up,6,2,no,high,,,,,,,,
11668,40% of students received 0 marks,9|9|9|0|0,low,,num,num,Non-mono,Non-mono,4,0,no,low,,,,,,,,
11668,Most students got some of the questions correct,12|12|9|3|3,high,,Non-num,Non-num,up,up,6,2,no,high,,,,,,,,
11668,60% of the students answered questions correctly,9|9|3|0|0,high,,num,Non-num,Non-mono,up,6,2,no,high,,,,,,,,
11668,60% of students did not pass the exams with only 30% scores,9|9|3|3|3,low,,num,Non-num,Non-mono,down,6,4,no,low,num,no,Non-mono,,3,,no,high
11668,2 in 5 students scored 70% or above pass rate.,9|9|0|0|0,high,,num,num,Non-mono,Non-mono,4,7,no,high,,,,,,,,
11668,Several of the students scored full marks,12|12|9|0|0,high,,Non-num,Non-num,up,up,4,10,no,high,,,,,,,,
11668,40% of students did not answer any questions correctly,12|12|12|0|0,low,,num,Non-num,Non-mono,down,4,0,yes,high,,,,,,,,
11668,No students correctly answered any questions, they all failed the exam,0|0|0|0|0,low,Non-num,Non-num,down,down,0,0,no,low,,,,,,,,
11668,All students scored perfect results- well done!,12|12|12|12|12,high,,Non-num,Non-num,up,up,10,10,no,high,,,,,,,,
11668,Most students answered questions correctly,12|12|3|0|0,high,,Non-num,Non-num,up,up,6,2,no,high,,,,,,,,
11665,"40% of students got zero questions correct, and another 20% got only 25% of questions correct.",12|12|3|0|0,low,,num,Non-num,Non-mono,down,4,0,no,high,num,num,Non-mono,down,2,2.5,no,high
11665,The majority of students got most or all questions right, 40% even got perfect scores.,12|12|9|3|3,high,Non-num,Non-num,Non-mono,up,6,6,no,high,num,Non-num,Non-mono,up,4,10,no,high
11665,All Riverside students got the same score.,12|12|12|12|12,low,,,,,,,,,,,,,,,,,
11665,Not a single Riverside student got a single question correct.,0|0|0|0|0,low,,Non-num,Non-num,down,down,0,0,yes,low,,,,,,,,
11665,The majority of Green Valley students got all or a majority of questions correct, 40% even got a perfect score.,12|12|9|0|0,high,Non-num,Non-num,up,up,6,6,no,high,num,Non-num,Non-mono,up,4,10,no,high
11665,The majority of Green Valley students got a majority of questions correct.,9|9|9|0|0,high,,Non-num,Non-num,up,up,6,6,no,high,,,,,,,,
11665,60% of Green Valley students got a perfect score.,12|12|12|0|0,high,,num,Non-num,Non-mono,up,6,10,no,high,,,,,,,,
11665,"Between all students, there were only 9 correct answer, and no student did better than 25% correct.",3|3|3|0|0,low,,,,,,,,,,Non-num,num,down,down,0,2.5,no,high
11665,"60% of students got a perfect score, and the remaining 40% of students got a majority of questions correct.",12|12|12|9|9,high,,num,Non-num,Non-mono,up,6,10,no,high,num,Non-num,Non-mono,up,4,6,no,high
11665,60% of students got a perfect score.,12|12|12|3|3,high,,num,Non-num,Non-mono,up,6,10,no,high,,,,,,,,
11665,The majority of questions were not answered correctly by a single student.,3|3|3|3|3,low,,Non-num,Non-num,up,down,6,0,yes,high,,,,,,,,
11672,"The overall average is correctly answered questions, with more than half the students obtaining a high mark",9|9|9|3|3,high,,,,,,,,,,,,,,,,,
11672,"Whilst some students did very well, the overall average is low due to some students not answering any questions correctly",12|12|12|0|0,low,,,,,,,,,,,,,,,,,
11672,Several of the students answered a number of questions incorrectly,12|12|9|9|9,low,,Non-num,Non-num,up,up,4,2,no,high,,,,,,,,
11672,"While some students were very successful, others did not achieve a single correct answer, bringing the overall average down",12|12|9|0|0,low,,,,,,,,,,,,,,,,,
11672,No student achieved the highest mark with all students failing on at least three questions,9|9|9|9|9,low,,Non-num,Non-num,down,up,0,10,no,high,Non-num,num,up,up,10,2.5,no,low
11672,"Whilst no one achieved a high score, there was a 100% attendance for the exam",0|0|0|0|0,high,,,,,,,,,,,,,,,,,
11672,"No students achieved a 100% score and some students failed to answer any questions correctly, reducing the overall average significantly",9|9|9|0|0,low,,Non-num,Non-num,down,up,0,10,no,high,Non-num,Non-num,up,down,2,0,no,low
11672,More than 50% of the students achieved 100%,12|12|12|3|3,high,,num,num,up,up,6,10,no,high,,,,,,,,
11672,Less than 50% of students achieved 100% whilst several failed to answer any questions correctly,12|12|0|0|0,low,,num,num,down,up,4,10,no,high,Non-num,Non-num,up,down,4,0,no,low
11672,Students unexpectedly gained high marks on a very easy exam paper,12|12|12|12|12,low,,,,,,,,,,,,,,,,,
11672,"Whilst some students did less well, 40% of students achieved a high mark",9|9|0|0|0,high,,,,,,,,,,,,,,,,,
